Hyponyms,Hypernyms Corpus,Hypernyms Task
Venus,"other planets, other planets","flick, roman deity, celestial body, energy, comedy-drama, musical composition, moving-picture show, heavenly body, literary work, deity, film, tale, story, astronomical object, movie, rock group, rock band, major planet, classical mythology, literary composition, music group, terrestrial planet, mythology, noun, roman mythology, planet, person, musical group, forms of energy, greco-roman mythology, motion picture, musical organization"
poetry,literary works,library science
Europe,"an exotic overseas setting, various countries, Pseudo, Zweibrücken Air Base, a cheap substitute, a Suzuki Alto SB308","map, dance band, literary composition, music group, mapping, human language, public building, traveling, railway system, transport, railway line, memorial, travel, subway system, rock group, means of transportation, engineering physics, musical group, audio signal, dance orchestra, travelling, musical organization, verbal description, railroad line, knowledge organization"
Iran,"an ornamental, part","political organization, city, form of government, country, governing, political organisation, governance, mass media, gov, political system, asian nation, asian country, theocracy"
shock,the episode,"illness, bodily process, disaster, physical property, magnitude relation, evidence, reflex response, fighting, quantitative relation, physical phenomenon, prostration, natural phenomenon, phenomenon, acceleration, ratio, jeopardy, astonishment, collapse, surprise, inclination, impact, cumulation, proclivity, reaction, impinging, reason, heap, response, observable, peril, predisposition, disorder, proneness, physiological reaction, magnitude, indication, unconditioned reflex, dimensionless quantity"
Kohler,the LMB,town
Austin,cities,"designated place, surname, transportation stop, constructed structure, facility, locale, personal name, railroad station, hamlet, marque, municipal corporation, brand, metro station, station, substantive, content word, town, center, scientific research, state capital, centre, philology, onomastics, railroad terminal, train depot, municipal government, venture, enterprise, u.s. state, company, family name"
Fort Meade,a census,"military base, cartography, military post, military installation, facility, locale, making, post, army base, fort"
religion,"an institution, several factors, Hegel, diverse themes","social function, scheme, social event, social occasion, religious ceremony, spiritism, occasion, group event, figure of speech, rhetorical device, religious ritual"
gypsum,other materials,"research laboratory, stone, science laboratory, research lab, rock, geographic point, lab, research centre, research center, research institute, laboratory, calcium sulfate, calcium sulphate, sulfate minerals"
growth,blister,evolution
North Carolina,"the Sergeant Major, Assistant","province, city, american state, state, overseas territory, u.s. state"
transport,areas,"travel, move, motion, mechanical assembly, traveling, travelling, natural process, movement"
New Jersey,"part, part, states, several states, part","album, city, state, american state, colony, mapping, single-valued function, u.s. state, dependent area"
IBM,"IBM engineers, president","firm, engineering science, corporation, company, business organization, engineering, business firm, corp, database management system, venture, enterprise, business organisation"
Turkey,some countries,"country, making"
wave,Hulk Hogan,"hair styling, tone, technical specification, oscillation, trend, curve, move, hairstyle, nonverbal communication, energy unit, shape, growth, physical phenomenon, emergence, natural phenomenon, phenomenon, hairdo, form, vibration, outgrowth, hair style, curved shape, motion, atmospheric phenomenon, work unit, movement"
fire,"such rescues, many organizations, a distraught crowd","oxidoreduction, onslaught, reaction mixture, chemical reaction, assault, oven, trouble, burning, reaction, combustion, warfare, war, attack, inquiry, redox, natural action, natural process"
pension,an invalid soldier,"endnote, regular payment, cost, citation, payment"
Cyprus,praetor,"city, island country, government, island, island nation, governance, city district, state, country, precinct, gov, urban district, isle, subprovince"
journalism,"professions, many new occupations, study, other activities","work of art, database, transmission, narrative mode, storage medium, narrative, storage, story, research, tale, inquiry, piece of work, narration, investigating, print media, database management system"
Monty Python,The Bilestoad,"comedian, musical group, musical organization, music group, team"
Pakistan,many countries,"cartography, locale, country, mapmaking, locus, asian country"
fish,"The Ukrainian diet, carrion, animals","card game, biological group, binomial name, habitat, microhabitat, microenvironment, environment, environment variable, animal, habitation, binomial nomenclature"
government,Solicitor General,"political organization, function, political organisation, social control, system of rules, ceremonial, social function, figure of speech"
Bell,several areas,"code, pc game, spysat, move, measurement, group event, bus stop, automobile, edifice, road vehicle, locale, juridical person, transport, air travel, movement, transportation, computer software, auto, natural depression, passenger transport, depression, signaling, metro station, instructor, painter, computer programme, work of art, video game, means of transport, game console, signal, land vehicle, motion, person, conveyance, flying machine, space vehicle, phonetician"
cricket,Competitions,"field game, athletic game, competitor, contest, team sport, athlete, grasshopper, hopper, competition, outdoor game, olympic sports, olympic sport, sport, type of sport, track and field"
Korea,"countries, many cultures, places, areas","city, work of art, manifold, natural elevation, locale, movie, plot of land, foreland, surface, parcel of land, elevation, piece of land, state, picture show, devising, two-dimensional space, motion picture, country, building site, piece of ground"
